,Rate
44,0.0
217,0.10476689366160294
219,0.0
221,0.0
224,0.6677796327212021
227,0.7619047619047619
230,4.6680497925311215
233,9.11854103343465
236,0.0
409,0.0
411,0.0
413,0.0
416,0.6839945280437756
419,1.5071590052750565
422,7.183170856849666
425,16.442451420029894
428,0.0
601,0.0
603,0.0
605,0.36062026685899745
608,1.7391304347826086
611,1.499250374812594
614,7.135575942915393
617,2.886002886002886
620,8.474576271186441
793,0.0
795,0.0
797,0.0
800,0.35348179568752214
803,4.50619601952685
806,5.055611729019211
809,8.379888268156426
812,0.0
985,0.0
987,0.286697247706422
989,0.34928396786587496
992,0.3591954022988505
995,2.6405130139569972
998,6.535947712418301
1001,16.150740242261104
1004,0.0
1177,0.0
1179,0.0
1181,0.689655172413793
1184,1.0909090909090908
1187,4.91865304578131
1190,5.007511266900351
1193,21.87902187902188
1196,0.0
2750,0.0
2751,0.2870173444581256
2753,0.0
2755,1.1045818053285026
2758,3.3937419398628927
2761,7.035670851215665
2764,16.255079712410133
2767,8.608815426997245
2979,0.0
2980,0.0
2982,0.32747480900031767
2984,0.7391884450062278
2987,4.505011825656044
2990,9.709283608174195
2993,13.347084875326097
2996,16.791201410460914
3208,0.0
3209,0.0
3211,0.0
3213,0.0
3216,3.3354334210428793
3219,11.579983472205411
3222,15.311049866911647
3225,25.11511092507325
3437,0.11089375934279921
3438,0.0
3440,0.6259389083625438
3442,0.741575700047461
3445,2.204237278795605
3448,16.186992133121823
3451,29.796011918404766
3454,48.56726566294317
3666,0.0
3667,0.0
3669,0.3083859388347329
3671,0.0
3674,4.144780967165799
3677,10.004791768689216
3680,30.327196756113178
3683,30.80714725816389
3895,0.0
3896,0.0
3898,0.0
3900,1.1280443095804806
3903,3.4585587801278903
3906,10.358078783547228
3909,23.20236885137226
3912,14.679976512037578
4124,0.0
4125,0.0
4127,0.0
4129,0.3773257415394136
4132,2.741711219473983
4135,10.249892376130052
4138,22.72874862004026
4141,6.920415224913495
4353,0.0
4354,0.0
4356,0.5975196957429709
4358,1.4917469102192122
4361,4.76795931341386
4364,14.284329580295786
4367,22.299385174094486
4370,19.664394336654432
4582,0.1164179591000426
4583,0.0
4585,0.2975880488639576
4587,1.0979760641218022
4590,7.238799967827557
4593,10.658275389534587
4596,21.89347261752103
4599,37.216226274655746
4811,0.0
4812,0.0
4814,0.2971635736891372
4816,1.8061887250475026
4819,5.6818412412388035
4822,12.639604430939732
4825,21.66959034155402
4828,47.953006054067004
5040,0.23552631888850423
5041,0.0
5043,0.0
5045,0.713279480732538
5048,4.096245381483333
5051,16.001360115609828
5054,31.79356744338694
5057,28.801843317972345
5269,0.0
5270,0.0
5272,0.3030541800263052
5274,1.703519471227556
5277,4.104433198297481
5280,16.31361692661344
5283,26.860336580679157
5286,32.7475166466543
5498,0.0
5499,0.0
5501,0.0
5503,0.6624183569375075
5506,6.540329305580536
5509,14.158911814391315
5512,30.605568102665856
5515,20.419623257950885
5727,0.0
5728,0.0
5730,0.0
5732,0.3240304199758273
5735,6.921316841599557
5738,23.229253373081168
5741,38.76511570310229
5744,54.447359303073796
5956,0.0
5957,0.0
5959,0.0
5961,0.955429226580041
5964,6.910821940640105
5967,23.64811603342267
5970,22.601423889705053
5973,47.12091226086136
6185,0.0
6186,0.2660593418756119
6188,0.0
6190,0.3119959315730523
6193,2.451871799796495
6196,17.016846678211433
6199,48.428064557575034
6202,49.9341776748831
6414,0.0
6415,0.0
6417,0.2944918249069406
6419,0.30808381111997707
6422,7.7460281221589415
6425,18.24096312285289
6428,41.425419793643606
6431,26.238684567280362
6643,0.12446232276565238
6644,0.0
6646,0.0
6648,1.5315014533948794
6651,7.248156753470056
6654,21.378180004275638
6657,50.340032673530644
6660,75.46220601182242
6872,0.0
6873,0.0
6875,0.0
6877,0.9167807549383923
6880,5.1315451872027165
6883,15.861807836756416
6886,49.4984776883277
6889,69.64644188618952
7101,0.0
7102,0.0
7104,0.0
7106,0.9174592495183338
7109,8.524488530688158
7112,19.95711778281539
7115,53.253514272859995
7118,47.77260241251641
7349,0.0
7351,0.0
7354,0.2765066154207739
7357,2.134237436963773
7361,4.942138957740911
7365,25.44322090822121
7369,55.665789780838395
7373,97.55336168884381
7668,0.0
7670,0.0
7673,0.0
7676,1.552033474257973
7680,5.459866342471936
7684,22.230418285529513
7688,66.64152994922968
7692,89.67560823456019
7987,0.0
7989,0.0
7992,0.0
7995,0.6246037669853187
7999,6.005815042093698
8003,26.976260890416434
8007,49.79652111200783
8011,102.36220472440944
8306,0.0
8308,0.0
8311,0.0
8314,1.8668732673082487
8318,6.214675611196083
8322,23.20598023047982
8326,71.4054982233632
8330,91.99984666692221
8625,0.0
8627,0.0
8630,1.0624480396505607
8633,0.3080297187072609
8637,5.759451429190932
8641,22.03959290423062
