,Region,Agegroup,Sex,Year,Rate
4773,NORTH EAST,55-64,Male,1990-01-01 00:00:00,4.3781239738771935
4776,NORTH EAST,65-74,Male,1990-01-01 00:00:00,16.018845700824503
4779,NORTH EAST,75-84,Male,1990-01-01 00:00:00,32.335948952315256
4782,NORTH EAST,85+,Male,1990-01-01 00:00:00,13.054830287206268
4995,NORTH EAST,UNDER 25,Male,1991-01-01 00:00:00,0.0
4996,NORTH EAST,25-34,Male,1991-01-01 00:00:00,0.0
4997,NORTH EAST,35-44,Male,1991-01-01 00:00:00,0.0
4999,NORTH EAST,45-54,Male,1991-01-01 00:00:00,0.0
5002,NORTH EAST,55-64,Male,1991-01-01 00:00:00,2.2136953955135774
5005,NORTH EAST,65-74,Male,1991-01-01 00:00:00,16.646013279819485
5008,NORTH EAST,75-84,Male,1991-01-01 00:00:00,30.059689955769308
5011,NORTH EAST,85+,Male,1991-01-01 00:00:00,62.66449429753102
5224,NORTH EAST,UNDER 25,Male,1992-01-01 00:00:00,0.0
5225,NORTH EAST,25-34,Male,1992-01-01 00:00:00,0.0
5226,NORTH EAST,35-44,Male,1992-01-01 00:00:00,0.0
5228,NORTH EAST,45-54,Male,1992-01-01 00:00:00,0.0
5231,NORTH EAST,55-64,Male,1992-01-01 00:00:00,5.939388539949813
5234,NORTH EAST,65-74,Male,1992-01-01 00:00:00,25.542551153519856
5237,NORTH EAST,75-84,Male,1992-01-01 00:00:00,39.22166779247379
5240,NORTH EAST,85+,Male,1992-01-01 00:00:00,48.09426475892751
5453,NORTH EAST,UNDER 25,Male,1993-01-01 00:00:00,0.2312202881929672
5454,NORTH EAST,25-34,Male,1993-01-01 00:00:00,0.0
5455,NORTH EAST,35-44,Male,1993-01-01 00:00:00,0.0
5457,NORTH EAST,45-54,Male,1993-01-01 00:00:00,2.5708923567370228
5460,NORTH EAST,55-64,Male,1993-01-01 00:00:00,5.194882298809629
5463,NORTH EAST,65-74,Male,1993-01-01 00:00:00,18.95991332611051
5466,NORTH EAST,75-84,Male,1993-01-01 00:00:00,42.28235713014064
5469,NORTH EAST,85+,Male,1993-01-01 00:00:00,57.01254275940707
5682,NORTH EAST,UNDER 25,Male,1994-01-01 00:00:00,0.0
5683,NORTH EAST,25-34,Male,1994-01-01 00:00:00,0.0
5684,NORTH EAST,35-44,Male,1994-01-01 00:00:00,0.0
5686,NORTH EAST,45-54,Male,1994-01-01 00:00:00,1.259652084094373
5689,NORTH EAST,55-64,Male,1994-01-01 00:00:00,4.466545573653336
5692,NORTH EAST,65-74,Male,1994-01-01 00:00:00,17.92323478541407
5695,NORTH EAST,75-84,Male,1994-01-01 00:00:00,35.77577532813094
