"Code","Name"," ALL AGES","0.0","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85+"
"00HC","NORTH SOMERSET UA","88265.0","1084.0","4537.0","5777.0","5946.0","6705.0","6183.0","6046.0","6054.0","6426.0","6916.0","5429.0","4922.0","4604.0","4570.0","4629.0","3376.0","2660.0","1635.0","766.0"
"00HD","SOUTH GLOUCESTERSHIRE UA","106959.0","1507.0","5704.0","7258.0","7236.0","7876.0","8519.0","8778.0","7861.0","7901.0","8651.0","6935.0","6408.0","5879.0","5110.0","4319.0","2939.0","2290.0","1210.0","578.0"
"00HG","PLYMOUTH UA","129420.0","1786.0","6621.0","8321.0","6962.0","12103.0","15143.0","12094.0","8996.0","8666.0","8631.0","6704.0","6356.0","6009.0","5742.0","5626.0","4024.0","3128.0","1671.0","837.0"
"00HH","TORBAY UA","55380.0","650.0","2555.0","3186.0","3301.0","3678.0","3777.0","3448.0","3218.0","3473.0","3927.0","3315.0","3156.0","3011.0","3159.0","3572.0","2912.0","2576.0","1592.0","874.0"
"00HN","BOURNEMOUTH UA","72467.0","817.0","3155.0","3842.0","3652.0","5549.0","5975.0","5403.0","4632.0","4443.0","4743.0","3939.0","3749.0","3957.0","4222.0","4538.0","3666.0","3076.0","1976.0","1133.0"
"00HP","POOLE UA","62928.0","825.0","3183.0","3875.0","3512.0","4538.0","5111.0","4812.0","4121.0","4335.0","4543.0","3548.0","3505.0","3367.0","3332.0","3502.0","2613.0","2161.0","1403.0","642.0"
"00HX","SWINDON UA","82883.0","1376.0","4976.0","5646.0","5439.0","5772.0","7701.0","7921.0","6581.0","5731.0","5807.0","4576.0","4278.0","4188.0","4020.0","3562.0","2279.0","1618.0","932.0","480.0"
"00JA","PETERBOROUGH UA","74903.0","1178.0","4598.0","5756.0","5096.0","6095.0","6581.0","6539.0","5568.0","5236.0","5116.0","3917.0","3849.0","3720.0","3447.0","3252.0","2156.0","1551.0","888.0","360.0"
"00KA","LUTON UA","83552.0","1578.0","5454.0","6411.0","5633.0","6165.0","7838.0","8069.0","6270.0","5385.0","5453.0","4633.0","4625.0","4320.0","3630.0","3042.0","2125.0","1648.0","890.0","383.0"
"00KF","SOUTHEND UA","75392.0","1063.0","4085.0","4642.0","4492.0","5014.0","6112.0","5826.0","5119.0","5021.0","5240.0","3956.0","3837.0","3973.0","3976.0","4277.0","3451.0","2824.0","1654.0","830.0"
"00KG","THURROCK UA","61276.0","1039.0","3546.0","4144.0","4151.0","4740.0","5269.0","5268.0","4264.0","4549.0","4689.0","3450.0","3063.0","3132.0","3273.0","2847.0","1727.0","1235.0","617.0","273.0"
"00LC","MEDWAY UA","118846.0","1993.0","7180.0","8813.0","8015.0","8731.0","11476.0","10767.0","8871.0","8937.0","9067.0","6790.0","6073.0","5450.0","4912.0","4620.0","3171.0","2312.0","1192.0","476.0"
"00MA","BRACKNELL FOREST UA","45927.0","796.0","2788.0","3510.0","2820.0","3849.0","4186.0","4356.0","3900.0","3677.0","3592.0","2568.0","2232.0","2000.0","1767.0","1578.0","1010.0","745.0","381.0","172.0"
"00MB","WEST BERKSHIRE UA","69304.0","1023.0","3816.0","4875.0","4206.0","6221.0","6097.0","5990.0","5561.0","5270.0","5598.0","4161.0","3651.0","3228.0","2817.0","2531.0","1755.0","1360.0","772.0","372.0"
"00MC","READING UA","67679.0","1049.0","3752.0","4079.0","3553.0","5818.0","8702.0","6790.0","5016.0","4469.0","4480.0","3402.0","3240.0","3117.0","2947.0","2586.0","1925.0","1589.0","808.0","357.0"
"00MD","SLOUGH UA","52340.0","960.0","3297.0","3791.0","3257.0","3777.0","5255.0","5522.0","4321.0","3535.0","3325.0","2508.0","2589.0","2501.0","2382.0","2129.0","1414.0","1022.0","502.0","253.0"
"00ME","WINDSOR AND MAIDENHEAD UA","64996.0","760.0","3257.0","4205.0","3277.0","6136.0","4792.0","4782.0","4515.0","4983.0","5369.0","4342.0","3996.0","3804.0","3283.0","2774.0","2015.0","1476.0","831.0","399.0"
"00MF","WOKINGHAM UA","71914.0","1006.0","4070.0","5167.0","4909.0","5929.0","6055.0","6499.0","5812.0","5915.0","6116.0","4678.0","4090.0","3482.0","2661.0","2083.0","1404.0","1080.0","652.0","306.0"
"00MG","MILTON KEYNES UA","84550.0","1578.0","6214.0","7523.0","6393.0","5668.0","7160.0","8136.0","7671.0","7057.0","6659.0","4562.0","3537.0","3088.0","2764.0","2567.0","1725.0","1261.0","672.0","315.0"
"00ML","BRIGHTON AND HOVE UA","112864.0","1493.0","5159.0","5783.0","4612.0","8609.0","12210.0","10319.0","8214.0","7470.0","7531.0","5884.0","5564.0","5680.0","5814.0","5914.0","4716.0","4065.0","2521.0","1306.0"
"00MR","PORTSMOUTH UA","93439.0","1437.0","4662.0","5025.0","3891.0","8400.0","12437.0","9503.0","6804.0","6128.0","5940.0","4479.0","4235.0","4159.0","4145.0","4260.0","3208.0","2557.0","1394.0","775.0"
"00MS","SOUTHAMPTON UA","99080.0","1527.0","5185.0","6155.0","5528.0","8386.0","10830.0","8336.0","6750.0","6432.0","6689.0","5219.0","4999.0","5053.0","5066.0","4721.0","3431.0","2611.0","1440.0","722.0"
"00MW","ISLE OF WIGHT UA","60497.0","757.0","2824.0","3713.0","3819.0","4077.0","4033.0","3934.0","3768.0","4005.0","4463.0","3572.0","3270.0","3205.0","3513.0","3820.0","2948.0","2489.0","1507.0","780.0"
"00NA","ISLE OF ANGLESEY UA","34181.0","513.0","1856.0","2402.0","2364.0","2756.0","2545.0","2465.0","2268.0","2322.0","2435.0","2066.0","1885.0","1826.0","1823.0","1726.0","1254.0","930.0","504.0","241.0"
"00NC","GWYNEDD UA","54424.0","733.0","2799.0","3494.0","3392.0","4466.0","4566.0","3866.0","3344.0","3531.0","3734.0","3129.0","3055.0","3053.0","3116.0","2962.0","2168.0","1651.0","909.0","456.0"
"00NE","CONWY UA","48933.0","613.0","2370.0","2943.0","2730.0","3702.0","3278.0","3233.0","2856.0","3064.0","3261.0","2788.0","2761.0","2817.0","3078.0","3171.0","2452.0","2038.0","1173.0","605.0"
"00NG","DENBIGHSHIRE UA","41927.0","572.0","2135.0","2581.0","2613.0","3144.0","2880.0","2908.0","2587.0","2719.0","2895.0","2385.0","2309.0","2296.0","2449.0","2510.0","1966.0","1595.0","899.0","484.0"
"00NJ","FLINTSHIRE UA","68007.0","1014.0","3628.0","4730.0","4881.0","5398.0","5379.0","5114.0","4448.0","5019.0","5374.0","4387.0","3908.0","3527.0","3326.0","2993.0","2154.0","1591.0","782.0","354.0"
"00NL","WREXHAM UA","60040.0","837.0","3393.0","4189.0","4062.0","4898.0","4614.0","4490.0","4017.0","4309.0","4462.0","3574.0","3226.0","3124.0","3086.0","2888.0","2073.0","1545.0","860.0","393.0"
"00NN","POWYS UA","57195.0","675.0","2879.0","3664.0","3390.0","4127.0","3797.0","3996.0","3760.0","4019.0","4190.0","3483.0","3309.0","3328.0","3432.0","3274.0","2458.0","1902.0","1041.0","471.0"
"00NQ","CEREDIGION UA","31375.0","398.0","1464.0","1839.0","1537.0","2670.0","2968.0","2249.0","1918.0","2120.0","2204.0","1819.0","1760.0","1695.0","1828.0","1810.0","1331.0","987.0","484.0","294.0"
"00NS","PEMBROKESHIRE UA","54231.0","747.0","2947.0","3716.0","3566.0","3895.0","3909.0","3831.0","3519.0","3758.0","3948.0","3362.0","3262.0","3193.0","3187.0","2919.0","2022.0","1393.0","727.0","330.0"
"00NU","CARMARTHENSHIRE UA","80665.0","1012.0","4225.0","5198.0","5049.0","5684.0","5264.0","5459.0","4998.0","5396.0","5806.0","4950.0","4765.0","4892.0","5148.0","4953.0","3482.0","2489.0","1291.0","604.0"
"00NX","SWANSEA UA","110360.0","1491.0","5953.0","7391.0","6797.0","8883.0","9224.0","8292.0","7091.0","7327.0","7578.0","6381.0","6285.0","6285.0","6261.0","5728.0","4133.0","2976.0","1540.0","744.0"
"00NZ","NEATH PORT TALBOT UA","66698.0","916.0","3636.0","4544.0","4360.0","4955.0","4665.0","4782.0","4283.0","4552.0","4828.0","4014.0","3834.0","3816.0","3961.0","3776.0","2608.0","1846.0","900.0","422.0"
"00PB","BRIDGEND UA","63476.0","936.0","3509.0","4301.0","4186.0","4911.0","4771.0","4905.0","4299.0","4449.0","4624.0","3911.0","3581.0","3377.0","3445.0","3204.0","2276.0","1632.0","812.0","347.0"
"00PD","THE VALE OF GLAMORGAN UA","57791.0","763.0","3341.0","4071.0","3767.0","4376.0","4596.0","4449.0","4002.0","4180.0","4245.0","3461.0","3194.0","3084.0","3074.0","2795.0","1917.0","1382.0","693.0","401.0"
"00PF","RHONDDA, CYNON, TAFF UA","111973.0","1633.0","6468.0","7862.0","7578.0","8584.0","8646.0","8289.0","7230.0","7782.0","8188.0","6851.0","6311.0","6038.0","6259.0","5821.0","3842.0","2624.0","1351.0","616.0"
"00PH","MERTHYR TYDFIL UA","28044.0","415.0","1759.0","1963.0","1815.0","2062.0","2124.0","2198.0","1840.0","1855.0","1909.0","1676.0","1613.0","1545.0","1604.0","1478.0","990.0","693.0","345.0","160.0"
"00PK","CAERPHILLY UA","82442.0","1276.0","4904.0","5946.0","5814.0","6268.0","6283.0","6330.0","5516.0","5914.0","6260.0","5110.0","4585.0","4412.0","4301.0","3825.0","2584.0","1791.0","893.0","430.0"
"00PL","BLAENAU GWENT UA","35604.0","491.0","1987.0","2298.0","2384.0","2847.0","2818.0","2697.0","2215.0","2339.0","2514.0","2169.0","2016.0","1916.0","1977.0","1923.0","1340.0","942.0","484.0","247.0"
"00PM","TORFAEN UA","44192.0","635.0","2494.0","3120.0","3032.0","3325.0","3449.0","3444.0","3060.0","3123.0","3194.0","2584.0","2407.0","2426.0","2416.0","2212.0","1471.0","1031.0","508.0","261.0"
"00PP","MONMOUTHSHIRE UA","39908.0","531.0","1955.0","2629.0","2496.0","3214.0","2722.0","2730.0","2658.0","2953.0","3160.0","2640.0","2368.0","2265.0","2187.0","1994.0","1408.0","1095.0","608.0","295.0"
"00PR","NEWPORT UA","64290.0","1050.0","3806.0","4379.0","4100.0","4951.0","5297.0","5131.0","4168.0","4187.0","4460.0","3844.0","3716.0","3687.0","3602.0","3156.0","2119.0","1490.0","778.0","369.0"
"00PT","CARDIFF UA","140681.0","2304.0","8297.0","9371.0","8279.0","11589.0","14309.0","12403.0","9824.0","9424.0","8928.0","7174.0","6952.0","7169.0","7347.0","6616.0","4613.0","3369.0","1785.0","928.0"
"1.0","GREATER LONDON","3241639.0","51118.0","180719.0","203139.0","171865.0","226663.0","329041.0","313995.0","251705.0","226150.0","223960.0","177015.0","172297.0","167815.0","157997.0","139600.0","101008.0","81654.0","44274.0","21624.0"
"2.0","GREATER MANCHESTER","1234591.0","18970.0","72348.0","85161.0","80179.0","96241.0","109126.0","100533.0","85902.0","84320.0","88564.0","70838.0","67347.0","64464.0","62558.0","57132.0","39284.0","29546.0","15291.0","6787.0"
"3.0","MERSEYSIDE","689738.0","10485.0","40074.0","47861.0","46407.0","54550.0","58312.0","54245.0","46821.0","44550.0","46217.0","38347.0","39386.0","39783.0","36880.0","32891.0","22660.0","17285.0","8886.0","4098.0"
"4.0","SOUTH YORKSHIRE","628349.0","8740.0","33578.0","40064.0","39248.0","49021.0","54713.0","50881.0","43687.0","42289.0","45032.0","36348.0","34911.0","33885.0","33753.0","31675.0","21840.0","16360.0","8578.0","3746.0"
"5.0","TYNE & WEAR","544992.0","7663.0","30210.0","36013.0","34350.0","41462.0","46786.0","44530.0","38945.0","36666.0","36841.0","29873.0","30546.0","31199.0","30713.0","27893.0","18268.0","13192.0","6795.0","3047.0"
"6.0","WEST MIDLANDS","1283931.0","19738.0","74713.0","88307.0","83872.0","103029.0","113820.0","102617.0","86277.0","82015.0","87807.0","72906.0","71439.0","71482.0","68570.0","62480.0","41974.0","30581.0","15632.0","6672.0"
"7.0","WEST YORKSHIRE","990600.0","15278.0","57092.0","68879.0","65366.0","78380.0","86455.0","79013.0","69507.0","68312.0","70648.0","55724.0","53514.0","51776.0","50140.0","46137.0","31699.0","23962.0","12821.0","5897.0"
"9.0","BEDFORDSHIRE","176454.0","2613.0","9970.0","12737.0","11576.0","12963.0","14860.0","15099.0","13289.0","13415.0","13890.0","10689.0","9705.0","8824.0","8057.0","7097.0","4911.0","3756.0","2015.0","988.0"
